actual/predicted,Potato_Early_Blight,Potato_Late_Blight,Potato_Healthy,Tomato_Bacterial_Spot,Tomato_Early_Blight,Tomato_Late_Blight,Tomato_Healthy,Tomato_Mosaic_Virus,Tomato_Yellow_Virus,Tomato_Leaf_Mold,Tomato_Septoria_Leaf_Spot
Potato_Early_Blight,7,1,0,0,0,0,0,0,0,0,0
Potato_Late_Blight,3,5,0,0,0,0,0,0,0,0,0
Potato_Healthy,0,0,0,0,0,0,0,0,0,0,0
Tomato_Bacterial_Spot,0,0,0,0,0,2,0,0,0,3,4
Tomato_Early_Blight,0,1,0,0,1,0,0,0,0,5,2
Tomato_Late_Blight,0,2,0,0,0,5,0,0,0,2,1
Tomato_Healthy,0,0,0,0,0,0,0,0,0,0,0
Tomato_Mosaic_Virus,0,0,0,0,0,0,0,5,1,4,0
Tomato_Yellow_Virus,0,0,0,0,1,0,0,1,4,0,0
Tomato_Leaf_Mold,0,0,0,0,0,1,0,1,1,2,1
Tomato_Septoria_Leaf_Spot,0,0,0,0,0,0,0,1,0,1,9
